Incorrect points is {X=107,Y=22}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Incorrect points is {X=52,Y=109}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Date 1/18/2017 6:32:29 PM {X=20,Y=62}
Date 1/18/2017 6:32:29 PM {X=3,Y=80}
Date 1/18/2017 6:32:29 PM {X=62,Y=55}
Incorrect points is {X=60,Y=102}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Date 1/18/2017 6:32:29 PM {X=20,Y=62}
Date 1/18/2017 6:32:29 PM {X=3,Y=80}
Date 1/18/2017 6:32:29 PM {X=62,Y=55}
Date 1/18/2017 6:32:29 PM {X=80,Y=44}
Date 1/18/2017 6:32:29 PM {X=24,Y=94}
Date 1/18/2017 6:32:29 PM {X=65,Y=9}
Incorrect points is {X=106,Y=73}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Date 1/18/2017 6:32:29 PM {X=20,Y=62}
Date 1/18/2017 6:32:29 PM {X=3,Y=80}
Date 1/18/2017 6:32:29 PM {X=62,Y=55}
Date 1/18/2017 6:32:29 PM {X=80,Y=44}
Date 1/18/2017 6:32:29 PM {X=24,Y=94}
Date 1/18/2017 6:32:29 PM {X=65,Y=9}
Date 1/18/2017 6:32:29 PM {X=14,Y=60}
Date 1/18/2017 6:32:29 PM {X=94,Y=95}
Incorrect points is {X=106,Y=95}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Date 1/18/2017 6:32:29 PM {X=20,Y=62}
Date 1/18/2017 6:32:29 PM {X=3,Y=80}
Date 1/18/2017 6:32:29 PM {X=62,Y=55}
Date 1/18/2017 6:32:29 PM {X=80,Y=44}
Date 1/18/2017 6:32:29 PM {X=24,Y=94}
Date 1/18/2017 6:32:29 PM {X=65,Y=9}
Date 1/18/2017 6:32:29 PM {X=14,Y=60}
Date 1/18/2017 6:32:29 PM {X=94,Y=95}
Incorrect points is {X=66,Y=100}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Date 1/18/2017 6:32:29 PM {X=20,Y=62}
Date 1/18/2017 6:32:29 PM {X=3,Y=80}
Date 1/18/2017 6:32:29 PM {X=62,Y=55}
Date 1/18/2017 6:32:29 PM {X=80,Y=44}
Date 1/18/2017 6:32:29 PM {X=24,Y=94}
Date 1/18/2017 6:32:29 PM {X=65,Y=9}
Date 1/18/2017 6:32:29 PM {X=14,Y=60}
Date 1/18/2017 6:32:29 PM {X=94,Y=95}
Date 1/18/2017 6:32:29 PM {X=36,Y=97}
Date 1/18/2017 6:32:29 PM {X=52,Y=72}
Date 1/18/2017 6:32:29 PM {X=53,Y=68}
Incorrect points is {X=106,Y=1}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Date 1/18/2017 6:32:29 PM {X=20,Y=62}
Date 1/18/2017 6:32:29 PM {X=3,Y=80}
Date 1/18/2017 6:32:29 PM {X=62,Y=55}
Date 1/18/2017 6:32:29 PM {X=80,Y=44}
Date 1/18/2017 6:32:29 PM {X=24,Y=94}
Date 1/18/2017 6:32:29 PM {X=65,Y=9}
Date 1/18/2017 6:32:29 PM {X=14,Y=60}
Date 1/18/2017 6:32:29 PM {X=94,Y=95}
Date 1/18/2017 6:32:29 PM {X=36,Y=97}
Date 1/18/2017 6:32:29 PM {X=52,Y=72}
Date 1/18/2017 6:32:29 PM {X=53,Y=68}
Date 1/18/2017 6:32:29 PM {X=16,Y=77}
Date 1/18/2017 6:32:29 PM {X=67,Y=21}
Incorrect points is {X=11,Y=102}
Movement before going abroad:
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=1,Y=1}
Date 1/18/2017 6:32:29 PM {X=27,Y=6}
Date 1/18/2017 6:32:29 PM {X=20,Y=62}
Date 1/18/2017 6:32:29 PM {X=3,Y=80}
